   8.9500001e-01   0.0000000e+00   0.0000000e+00  -8.1987070e-06   1.8995300e+00   0.0000000e+00
   1.8250000e+00   1.9552716e+00   8.3333340e-05  -1.6397415e-05   3.7996705e+00   9.7619120e+00
   1.9200001e+00   1.9552716e+00   1.6666668e-04  -1.6397415e-05   3.7996705e+00   9.7619120e+00
   2.0000001e+00   1.9552716e+00   2.5000000e-04  -2.4596124e-05   3.7996705e+00   9.7619120e+00
   2.0700000e+00   1.9552716e+00   3.3333336e-04  -2.4596124e-05   3.5762682e+00   9.7619120e+00
   2.1400000e+00   1.9552716e+00   4.1666668e-04  -3.2794830e-05   3.5762682e+00   9.7619120e+00
   2.2149999e+00   1.9552716e+00   5.0000000e-04  -2.8695477e-05   3.5762682e+00   9.7619120e+00
   2.2900001e+00   1.9552716e+00   5.8333337e-04  -2.4596124e-05   3.3528657e+00   9.7619120e+00
   2.3650000e+00   1.9552716e+00   6.6666670e-04  -4.0993535e-05   3.3528657e+00   9.7619120e+00
   2.4399999e+00   0.0000000e+00   7.5000000e-04  -3.2794830e-05   3.3528657e+00   0.0000000e+00
   2.5200001e+00   1.9552716e+00   8.3333335e-04  -4.0993535e-05   3.3528657e+00   9.7619120e+00
   2.6000000e+00   1.9552716e+00   9.1666670e-04  -4.0993535e-05   3.3528657e+00   9.7619120e+00
   2.6799999e+00   1.9552716e+00   1.0000000e-03  -4.0993535e-05   3.1294634e+00   9.7619120e+00
   2.7600001e+00   0.0000000e+00   1.0833334e-03  -4.0993535e-05   3.1294634e+00   0.0000000e+00
   2.8450000e+00   9.7763580e-01   1.1666667e-03  -4.5092891e-05   3.1294634e+00   4.8809560e+00
   2.9299999e+00   0.0000000e+00   1.2500001e-03  -4.9192247e-05   3.1294634e+00   0.0000000e+00
   3.0150001e+00   1.9552716e+00   1.3333334e-03  -4.9192247e-05   3.1294634e+00   9.7619120e+00
   3.1000000e+00   0.0000000e+00   1.4166668e-03  -4.9192247e-05   3.1294634e+00   0.0000000e+00
   3.1849999e+00   1.9552716e+00   1.5000000e-03  -5.7390953e-05   2.9060612e+00   9.7619120e+00
   3.2750001e+00   9.7763580e-01   1.5833334e-03  -5.7390953e-05   2.9060612e+00   4.8809560e+00
   3.3600000e+00   1.9552716e+00   1.6666667e-03  -4.9192247e-05   2.9060612e+00   9.7619120e+00
   3.4449999e+00   9.7763580e-01   1.7500000e-03  -6.1490307e-05   2.9060612e+00   4.8809560e+00
   3.5350001e+00   1.9552716e+00   1.8333334e-03  -5.7390953e-05   2.9060612e+00   9.7619120e+00
   3.6250000e+00   1.9552716e+00   1.9166667e-03  -5.3291600e-05   2.9060612e+00   9.7619120e+00
   3.7149999e+00   1.9552716e+00   2.0000000e-03  -5.7390953e-05   2.9060612e+00   9.7619120e+00
   3.8000000e+00   1.9552716e+00   2.0833334e-03  -5.7390953e-05   2.9060612e+00   9.7619120e+00
   3.8950000e+00   1.9552716e+00   2.1666668e-03  -6.9689015e-05   2.7943601e+00   9.7619120e+00
   3.9900001e+00   0.0000000e+00   2.2500001e-03  -5.7390953e-05   2.6826590e+00   0.0000000e+00
   4.0789999e+00   1.9552716e+00   2.3333335e-03  -6.5589660e-05   2.6826590e+00   9.7619120e+00
   4.1699999e+00   1.9552716e+00   2.4166666e-03  -6.5589660e-05   2.6826590e+00   9.7619120e+00
   4.2650000e+00   1.9552716e+00   2.5000002e-03  -7.3788370e-05   2.6826590e+00   9.7619120e+00
   4.3650001e+00   9.7763580e-01   2.5833333e-03  -7.7887720e-05   2.6826590e+00   4.8809560e+00
   4.4599999e+00   1.9552716e+00   2.6666669e-03  -7.3788370e-05   2.6826590e+00   9.7619120e+00
   4.5500000e+00   1.9552716e+00   2.7500000e-03  -7.3788370e-05   2.6826590e+00   9.7619120e+00
   4.6450001e+00   1.9552716e+00   2.8333336e-03  -7.3788370e-05   2.6826590e+00   9.7619120e+00
   4.7400001e+00   1.9552716e+00   2.9166667e-03  -7.3788370e-05   2.6826590e+00   9.7619120e+00
   4.8299998e+00   1.9552716e+00   3.0000000e-03  -8.1987070e-05   2.6826590e+00   9.7619120e+00
   4.9250000e+00   9.7763580e-01   3.0833334e-03  -8.6086428e-05   2.6826590e+00   4.8809560e+00
   5.0250000e+00   1.9552716e+00   3.1666667e-03  -8.1987070e-05   2.6826590e+00   9.7619120e+00
   5.1250001e+00   1.9552716e+00   3.2500000e-03  -9.0185782e-05   2.6826590e+00   9.7619120e+00
   5.2250000e+00   0.0000000e+00   3.3333334e-03  -8.6086428e-05   2.6826590e+00   0.0000000e+00
   5.3200000e+00   0.0000000e+00   3.4166668e-03  -9.8384495e-05   2.6826590e+00   0.0000000e+00
   5.4150001e+00   1.9552716e+00   3.5000000e-03  -9.0185786e-05   2.6826590e+00   9.7619120e+00
   5.5150000e+00   1.9552716e+00   3.5833335e-03  -9.8384495e-05   2.6826590e+00   9.7619120e+00
   5.6100000e+00   1.9552716e+00   3.6666668e-03  -9.8384495e-05   2.6826590e+00   9.7619120e+00
   5.7050000e+00   1.9552716e+00   3.7500001e-03  -9.4285141e-05   2.6826590e+00   9.7619120e+00
   5.8049999e+00   1.9552716e+00   3.8333335e-03  -9.8384495e-05   2.6826590e+00   9.7619120e+00
   5.9050001e+00   0.0000000e+00   3.9166670e-03  -1.0658320e-04   2.6826590e+00   0.0000000e+00
   5.9999999e+00   1.9552716e+00   4.0000000e-03  -1.0658320e-04   2.6826590e+00   9.7619120e+00
   6.0950001e+00   1.9552716e+00   4.0833335e-03  -9.8384495e-05   2.5709578e+00   9.7619120e+00
